ThrowType,SectorNumber,BoundType,ReachTime,ElapsedGoalInTime,ElapsedReboundAbleTime,Point_X,Point_Y,Point_Z,TargetVelocity_X,TargetVelocity_Y,TargetVelocity_Z,EventName,TargetPos_X,TargetPos_Y,TargetPos_Z
0,0,0,0.02,-1,0,0,2.896388,10.7254,0,-7.770833,0,Event_RightGoalIn,0,3.05,10.7254
0,0,1,0.02,-1,0,0,2.896388,10.7254,0,-7.770833,0,Event_RightGoalIn,0,3.05,10.7254
0,0,2,0.02,-1,0,0,2.896388,10.7254,0,-7.770833,0,Event_RightGoalIn,0,3.05,10.7254
0,0,3,0.02,-1,0,0.08943422,3.085593,10.7254,-8.100361,1.622931,0,Event_FirstRimBound,0.22,3.05,10.7254
0,0,3,0.02,-1,0,0.0894211,3.085485,10.7254,-8.071585,1.598048,0,Event_FirstRimBound,0.219,3.05,10.7254
0,0,4,0.02,-1,0,0.1057101,3.138197,10.6229,1.674529,6.070804,-1.621515,Event_FirstRimBound,0.15,3.15,10.58
0,0,5,0.02,-1,0,0.08834933,3.076852,10.7254,-6.258627,0.09675194,0,Event_FirstRimBound,0.16,3.05,10.7254
0,0,5,0.02,-1,0,-0.08944237,3.085623,10.7254,8.093126,1.622963,0,Event_FirstRimBound,-0.22,3.05,10.7254
0,0,6,0.02,-1,0,-0.1057226,3.138185,10.62295,-1.670218,6.067344,-1.620533,Event_FirstRimBound,-0.15,3.15,10.58
0,0,6,0.02,-1,0,-0.1536011,3.137922,10.70767,-3.100122,6.223616,-0.3580815,Event_FirstRimBound,-0.22,3.15,10.7
0,0,7,0.02,-1,0,0.08834933,3.076852,10.7254,-6.258627,0.09675194,0,Event_FirstRimBound,0.16,3.05,10.7254
0,1,0,0.48,-1,0,0.0287321,2.999032,10.72349,1.435156,-2.643593,-0.09560866,Event_RightGoalIn,0,3.05,10.7254
0,1,1,0.48,0.3,0,0.102604,3.11729,10.72821,-2.079575,0.161796,-0.09251961,Event_FirstRimBound,0.154,3.05,10.7254
0,1,1,0.48,0.08,0,0.0879593,3.075343,10.7302,-1.973926,-0.5515419,-0.1135962,Event_FirstRimBound,0.12,3.05,10.7254
0,1,1,0.48,0.02,0,0.08896295,3.022973,10.72081,-0.8422605,-1.592347,-0.06709504,Event_FirstRimBound,0.06,3.05,10.7254
0,1,1,0.48,0.4400001,0,0.141787,3.163042,10.75109,-0.2648861,1.756101,-0.1695781,Event_FirstRimBound,0.35,3.05,10.7254
0,1,1,0.48,0.4400001,0,-0.2697548,3.181647,10.7574,0.5117199,1.161311,-0.1167053,Event_FirstRimBound,-0.1,3.05,10.7254
0,1,1,0.48,0.6199999,0,0.1106257,3.158189,10.81301,-0.3133596,1.564471,-0.7853488,Event_FirstRimBound,0.3,3.05,10.8
0,1,1,0.6,0.42,0,0.120954,3.144155,10.73735,-1.285557,0.7829602,-0.2122677,Event_FirstRimBound,0.2000008,3.05,10.7254
0,1,1,0.8,0.56,0,0.1193326,3.140624,10.72952,-2.288161,0.3362045,-0.120938,Event_FirstRimBound,0.1500015,3.05,10.7254
0,1,2,0.48,0.6799999,0,0.06144084,3.155431,10.84539,-0.1146633,0.8658394,-1.666039,Event_FirstRimBound,0.144,3.05,10.85
0,1,2,0.48,1.12,0,0.07062839,3.159287,10.84621,-0.2544591,1.038284,-1.513116,Event_FirstRimBound,0.158,3.05,10.85
0,1,2,0.6,1.419999,0,-0.2568518,3.186134,10.74262,0.1443291,0.9025998,-0.107773,Event_FirstRimBound,-0.1849995,3.05,10.7254
0,1,2,0.8,1.579999,0,0.1302263,3.152406,10.73085,-2.134281,0.7693542,-0.1042983,Event_FirstRimBound,0.165699,3.05,10.7254
0,1,3,0.48,-1,0,0.2103586,3.188404,10.73559,1.261769,1.371348,-0.1026356,Event_FirstRimBound,0.35,3.05,10.7254
0,1,3,0.48,-1,0,0.1515711,3.187169,10.58216,1.896153,0.9412181,-0.4892078,Event_FirstRimBound,0.45,3.05,10.5
0,1,3,0.48,-1,0,-0.2024335,3.187088,10.58208,1.16165,0.8064145,-0.6723889,Event_FirstRimBound,0,3.05,10.5
0,1,3,0.48,-1,0,-0.1925632,3.132996,10.4528,0.2269986,0.05191305,-1.784094,Event_FirstRimBound,-0.1,3.05,10.4
0,1,3,0.6,-1,0,0.09878631,3.187827,10.54572,0.873647,0.9831456,-0.1751517,Event_FirstRimBound,0.2299995,3.05,10.5
0,1,3,0.8,-1,0,0.2437301,3.188063,10.73267,1.405461,1.43973,-0.06834687,Event_FirstRimBound,0.2999992,3.05,10.7254
0,1,4,0.48,-1,0,0.2381465,3.187002,10.66034,1.954279,0.6472548,-0.4448156,Event_FirstRimBound,0.38,3.05,10.63
0,1,4,0.48,-1,0,0.03153406,3.187749,10.50421,1.74734,0.7608591,-0.7327108,Event_FirstRimBound,0.3,3.05,10.4
0,1,4,0.6,-1,0,0.09880423,3.187813,10.54585,0.8728818,0.9839721,-0.1747489,Event_FirstRimBound,0.2299995,3.05,10.5
0,1,4,0.8,-1,0,0.2759396,3.179595,10.73067,2.073034,0.7304524,-0.05792307,Event_FirstRimBound,0.3300018,3.05,10.7254
0,1,5,0.48,-1,0,-0.286265,3.175646,10.74157,-0.7617787,1.232794,-0.04078376,Event_FirstRimBound,-0.23,3.05,10.7254
0,1,5,0.6,-1,0,0.1107388,3.158263,10.80666,-0.8228154,1.198356,-1.212198,Event_FirstRimBound,0.2,3.05,10.8
0,1,5,0.6,-1,0,-0.2132563,3.17413,10.53482,-0.4157624,1.180147,-1.139545,Event_FirstRimBound,-0.14,3.05,10.5
0,1,5,0.6,-1,0,-0.2884758,3.17463,10.73902,-0.5229903,0.888853,-0.04937312,Event_FirstRimBound,-0.2299995,3.05,10.7254
0,1,5,0.8,-1,0,0.1558192,3.171857,10.73213,-1.353399,1.429778,-0.2097923,Event_FirstRimBound,0.2000008,3.05,10.7254
0,1,6,0.48,-1,0,-0.3306601,3.133883,10.66374,-1.683699,0.06906338,-0.5698628,Event_FirstRimBound,-0.3,3.05,10.65
0,1,6,0.6,-1,0,-0.3291386,3.114973,10.61278,-1.515469,-0.3486657,-1.040337,Event_FirstRimBound,-0.3,3.05,10.6
0,1,6,0.6,-1,0,-0.3551019,3.060685,10.80053,-1.059447,1.292414,0.3479694,Event_FirstRimBound,0.3799992,3.05,10.7254
0,1,6,0.8,-1,0,-0.3168913,3.154467,10.73184,-2.139744,0.5246626,-0.03489595,Event_FirstRimBound,-0.2999992,3.05,10.7254
0,1,6,0.8,-1,0,0.1466803,3.166082,10.73283,-1.662167,1.451315,-0.05922587,Event_FirstRimBound,0.2,3.05,10.7254
0,1,7,0.48,-1,0,0.07198657,3.159778,10.8462,-0.2713299,1.061278,-1.488918,Event_FirstRimBound,0.16,3.05,10.85
0,1,7,0.6,-1,0,0.1202867,3.147935,10.75941,-1.413707,1.030714,-0.8465398,Event_FirstRimBound,0.2,3.05,10.75
0,1,7,0.6,-1,0,0.1222137,3.145851,10.71256,-1.630913,1.052503,0.1036857,Event_FirstRimBound,0.2,3.05,10.7
0,1,7,0.6,-1,0,-0.2230977,3.188629,10.62927,0.5857405,1.297952,-0.4382664,Event_FirstRimBound,-0.14,3.05,10.6
0,1,7,0.6,-1,0,-0.2569263,3.186116,10.74262,0.1430272,0.9026865,-0.1077374,Event_FirstRimBound,-0.1851006,3.05,10.7254
0,1,7,0.8,-1,0,0.1302966,3.152474,10.73085,-2.132962,0.7718939,-0.1041187,Event_FirstRimBound,0.1657982,3.05,10.7254
0,2,0,0.48,-1,0,0.03967028,2.999032,10.73419,1.981508,-2.643593,0.4392889,Event_RightGoalIn,0,3.05,10.7254
0,2,1,0.48,0.32,0,0.09705233,3.107411,10.71449,-2.308188,0.1228951,0.553928,Event_FirstRimBound,0.154,3.05,10.7254
0,2,1,0.48,0.8199998,0,0.1452653,3.165328,10.70219,-0.7252514,1.889402,0.2905387,Event_FirstRimBound,0.28,3.05,10.7254
0,2,1,0.6,0.4400001,0,0.1112755,3.133072,10.70907,-1.509831,0.7853542,0.4896965,Event_FirstRimBound,0.2000008,3.05,10.7254
0,2,1,0.8,0.54,0,0.1131277,3.133249,10.71832,-2.384696,0.2588535,0.2633479,Event_FirstRimBound,0.1500015,3.05,10.7254
0,2,1,0.65,0.52,0,0.1421071,3.165159,10.75615,-0.7767839,1.470243,-0.1671497,Event_FirstRimBound,0.25,3.05,10.78
0,2,2,0.48,1.04,0,0.06058429,3.132977,10.82461,-1.245133,0.8772379,-1.752522,Event_FirstRimBound,0.144,3.05,10.85
0,2,2,0.6,1.259999,0,0.164409,3.176272,10.69844,0.1728145,1.53895,0.178765,Event_FirstRimBound,0.3267002,3.05,10.7254
0,2,2,0.8,1.08,0,0.1246011,3.147041,10.71708,-2.231744,0.767263,0.189154,Event_FirstRimBound,0.1685982,3.05,10.7254
0,2,3,0.48,-1,0,0.1822511,3.183514,10.69802,0.890367,1.824724,0.4327452,Event_FirstRimBound,0.35,3.05,10.7254
0,2,3,0.6,-1,0,0.1935497,3.186028,10.69564,1.095684,1.226099,0.274995,Event_FirstRimBound,0.3799992,3.05,10.7254
0,2,3,0.8,-1,0,0.2280365,3.189221,10.7132,1.218211,1.653854,0.120535,Event_FirstRimBound,0.2999992,3.05,10.7254
0,2,4,0.48,-1,0,0.2329289,3.184602,10.61454,2.451444,0.3564873,-0.04814331,Event_FirstRimBound,0.41,3.05,10.63
